Bus 0: 
(42.290932, -85.5870157)
(42.2840897, -85.5302028)
(42.2977868, -85.5172069)
(42.3316978, -85.5107025)
(42.3316978, -85.5107025)
(42.3520529, -85.5556768)
(42.3169202, -85.5640846)
(42.3270947, -85.5447233)
(42.3306891, -85.5413851)
(42.3232566, -85.5210814)
(42.323258, -85.5151954)
(42.2565491, -85.5632907)
(42.2649931, -85.5125396)
(42.2964653, -85.5062011)
(42.2556583, -85.528633)
(42.2595536, -85.5496498)
(42.2042834, -85.6348555)
(42.2029287, -85.6427644)
(42.2202337, -85.6465378)
(42.2212724, -85.6030875)
(42.216526, -85.5886631)
(42.3017274, -85.5672388)
(42.3291063, -85.5938869)
(42.3904795, -85.6185862)
(42.392005, -85.6385068)
(42.3369474, -85.6889736)
(42.2993692, -85.6591406)
(42.2243439, -85.5948914)
(42.2474764, -85.5365967)
(42.2649931, -85.5125396)
(42.3317635, -85.5181932)
(42.334607, -85.5355127)
(42.3271918, -85.6325343)
(42.3904795, -85.6185862)
(42.334389, -85.5561238)
(42.3904795, -85.6185862)
(42.2420169, -85.6316434)
(42.2227497, -85.6014805)
(42.4187864, -85.5125798)
Time Saved: 427
Average Pick Up Delay: 6.3076923076923075
Average Drop Off Delay: 8.038461538461538
----------------------------------------------
Bus 6: 
(42.2475577, -85.5945787)
(42.2008199, -85.6894113)
(42.2151137, -85.6324298)
(42.1977903, -85.6329741)
(42.120489, -85.6816698)
(42.2649931, -85.5125396)
(42.2052119, -85.5373026)
(42.2243439, -85.5948914)
(42.1985853, -85.6847384)
(42.256233, -85.5918782)
(42.2888714, -85.5832356)
(42.2829222, -85.5997965)
(42.2829222, -85.5997965)
(42.3038093, -85.6257867)
(42.3230887, -85.6295915)
(42.3369474, -85.6889736)
(42.2664182, -85.6607058)
(42.2367903, -85.6857011)
(42.2351312, -85.6824921)
(42.216526, -85.5886631)
(42.2008199, -85.6894113)
(42.2475577, -85.5945787)
(42.2997968, -85.5776916)
(42.2997968, -85.5776916)
(42.291374, -85.5786628)
(42.2888714, -85.5832356)
(42.2356828, -85.6112622)
(42.2166442, -85.6113425)
(42.2415825, -85.5905719)
(42.2467017, -85.5811883)
(42.2496129, -85.5839319)
(42.2783805, -85.5713005)
(42.2739609, -85.5902634)
(42.2808549, -85.6031249)
(42.2808549, -85.6031249)
(42.2808549, -85.6031249)
(42.2808549, -85.6031249)
(42.2808549, -85.6031249)
(42.2421546, -85.6495691)
(42.2336514, -85.6301176)
(42.2196805, -85.5701549)
(42.2054901, -85.5985247)
(42.2186471, -85.5983267)
(42.2258957, -85.6006096)
(42.2243439, -85.5948914)
(42.2243439, -85.5948914)
(42.2243439, -85.5948914)
(42.2243439, -85.5948914)
